id,name,latitude,longitude
5634523681,Claridges Hotel,28.6020197,77.2176582
5634523682,National Museum,28.6114967,77.2182694
5634523683,National Archives,28.6145501,77.2184432
5634523684,Krishi Kunj,28.6370865,77.1468412
5634523690,Todapur Village,28.6241075,77.1563605
5634523693,Todapur Village,28.6233262,77.1597748
5634523696,"National Agricultural Science Centre, Dasghara",28.6256148,77.1621057
5634524442,Shaheed Baghat Singh Marg,28.6334042,77.209149
5634524445,Gole Market,28.634698,77.2036502
5634524452,Meghdoot Bhawan,28.6436271,77.2009959
5634524468,"Rajendra Nagar, R Block",28.6328518,77.1731551
5634524471,Todapur Village,28.6228314,77.1595881
5634524474,Monitoring and Receiving Station (Air Station),28.6263633,77.1532873
5634524479,Inderpuri,28.6334844,77.1479246
5634524602,Inderpuri,28.6320538,77.1491057
5634524607,Unnamed Stop,28.6289198,77.15126
5634525195,Pusa Quarter,28.6299946,77.1671391
5634525356,Unnamed Stop,28.630219,77.167001
5634525357,NPL Colony,28.63773,77.1744058
5634525358,East Patel Nagar,28.6404074,77.1741736
5634525359,Rajendra Place,28.6424869,77.1772863
5634525360,"Panchkuian Road, Banwari Lal Hospital",28.6416607,77.2041435
5634525961,"Rajendra Nagar, R Block",28.6344535,77.1739839
5637080733,Krishi Bhawan,28.6168315,77.2136914
5637100892,South Avenue,28.6099802,77.1993513
5637100894,Patel Chowk,28.6244886,77.2107096
5637100895,Shivaji Park,28.6387269,77.2239085
5637100897,Police Station Kamala Market,28.6430167,77.2259822
5637101391,Gurudwara Bangla Sahib,28.62523,77.2094194
5637101395,Windsor Place,28.6180019,77.2188942
5637102539,Tyagraj Marg,28.6089101,77.2030314
5637102589,School of Physical Science,28.5464991,77.1794205
5637102806,"Rama Krishna Puram, NAB",28.5613345,77.1765512
5637103413,PNB Gitanjali,28.5294842,77.2013475
5637696019,Ayurvigyan Nagar,28.5613611,77.2221055
5638613628,Shopping Center,28.5413373,77.1564321
5638613674,Karol Bagh Metro Station,28.6441988,77.188947
5655291486,TB Extension,28.525488,77.2606198
5655291487,DDA Kalkaji Extension,28.5254197,77.2621575
5655292225,Tara Apartment,28.5243012,77.2562726
5655292431,Sat Narayan Temple,28.5121499,77.2433398
5655292435,Central Reserve Police Force,28.5285197,77.2705242
5655292552,Hamdard Library,28.5170953,77.2536066
5655292553,Guru Ravi Das Mandir,28.5194087,77.2544918
5655292554,Kalkaji Extension,28.5267332,77.2668544
5663495758,TB Extension,28.5255785,77.2609331
5663495759,Okhla Phase 1,28.5203651,77.2776273
5663496119,C Lal Chowk,28.5339998,77.2687239
5663496279,Guru Ravidas Mandir,28.5195392,77.2542766
5663496324,C Lal Chowk,28.534494,77.2682466
5663496325,Lal Kuan,28.5026215,77.2845419
